Campus,Department,Study Language,Study Method,Duration,Entry Requirements,English Level,Course Fees,Location,Career Opportunities,Course,URL
NIBM,School of Bussiness ,English,Full Time / Part Time,4 Years,"For entry into Year 1: Students may enroll via Advanced Diploma in Business Management or Advanced Diploma in Human Resource Management.

Full-Time Pathway (After A/L Students): GCE Advanced Level with minimum three (03) simple passes, or Certification in Business Management (CBM) if below three passes; GCE Ordinary Level with Foundation Course in Business Management.

Part-Time Pathway (for Professionals): GCE Advanced Level with 3 years’ work experience, GCE Ordinary Level with 5 years’ work experience, or completion of Advanced Certificate in Business Management (ACBM).

For entry into Year 2: Completion of Advanced Diploma in Business Management or Advanced Diploma in Human Resource Management (Full-Time or Part-Time).",Intermediate,"Rs.7,408,024.00",Colombo,"Advance Diploma in Business Management: LKR 350,000 + Registration Fee LKR 5,000
Fees per year at Australia: AUD 35,200
Subject to change without prior notice. Conditions apply.",Bachelor of Business,https://www.nibm.lk/course/bachelor-of-business
NIBM,School of Bussiness ,English,Full Time / Part Time,1 Years,"For entry into Year 1: Advanced Diploma in Digital Marketing & Brand Management. Completion of G.C.E A/Ls or equivalent foundation programs. OR Applicants who have successfully completed SLQF Level 3 or NVQ Level 5 are also eligible. AND Proficiency in English is required as the medium of instruction is English. For entry into Year 2: Higher Diploma in Digital Marketing & Brand Management — Completion of the Advanced Diploma in Digital Marketing & Brand Management or an equivalent qualification. For entry into Year 3: BSc (Hons) in Digital Marketing — Completion of a Higher National Diploma (HND) or equivalent qualification in digital marketing, marketing, or a related field.",Intermediate,"Rs.7,408,024.00",Colombo,"Digital Marketing Manager, Brand Manager, Social Media Strategist, SEO Specialist, Content Marketing Manager, Digital Entrepreneur, e-Commerce Manager",BSc (Hons) in Digital Marketing,https://www.nibm.lk/course/bsc-hons-in-digital-marketing
NIBM,School of Engineering ,English,Full Time,3 Years,"For entry into Year 1: Diploma in Quantity Surveying, Passes G.C.E. O/L with 5 Credits including Mathematics OR Passed/Sat for G.C.E. A/L in Science or Commerce Stream OR Any other Basic Civil Engineering–related certificate accepted by NIBM.

For entry into Year 2: Passes NIBM Diploma in Quantity Surveying OR Any other Diploma Certificate related to the Civil Engineering field equivalent to NVQ level 4 accepted by NIBM.",Intermediate,"Rs.1,915,000.00",Colombo,"Quantity Surveyor, Cost Consultant, Contract Administrator, Estimator, Commercial Manager, Construction Project Manager, Procurement Manager, Value Engineer",BSc (Hons) in Quantity Surveying & Commercial Management,https://www.nibm.lk/course/bsc-hons-quantity-surveying-commercial-management
NIBM,School of Engineering ,English,Part Time,4 Years,"Successfully completed both Diploma and HND in Electro-Mechanical Engineering.

Provide evidence of successful completion of HND in Engineering (NVQ Level 6) from a recognized institute that is acceptable to the Coventry University requirements.",Intermediate,"Rs.1,670,000.00",Colombo,"Automation Engineer, Mechatronics Engineer, Robotics Engineer, Manufacturing Engineer, Maintenance Engineer, Energy Systems Engineer, Project Engineer",BEng (Hons) in Electro-Mechanical Engineering,https://www.nibm.lk/course/beng-hons-in-electro-mechanical-engineering
NIBM,School of Language ,English,Part Time,3 Years,"For entry into Year 1: Diploma in English. Selection from a placement test followed by an interview. OR Diploma in English for Professionals with 3 passes at A/L + 3 years of working experience.

Undergraduates (Admission through interviews): Applicants with professional experience are welcome to apply. All non-standard or marginal applications for admission are considered upon approval of the relevant academic body.

For direct entry into Year 2: Completion of the Diploma in English (full time) Programme or Diploma in English for Professionals (part-time) programme at NIBM. The English Language requirement is IELTS grade 6.0 (with a minimum of 5.5 in each component) or equivalent competence proven through G.C.E. O/L and A/L results.",Intermediate,"Rs.2,013,000.00",Colombo/Kandy,"English Language Teacher, TESOL Instructor, Corporate English Trainer, Education Consultant, Academic Coordinator, English Editor, Translator, Curriculum Developer",BA (Hons) in English and TESOL,https://www.nibm.lk/course/ba-hons-english-and-tesol
NIBM,School of Language ,English,Full Time / Part Time,3 Years,"For entry into Year 1: Diploma in English. Selection from a placement test followed by an interview. OR Diploma in English for Professionals with 3 passes at A/L + 3 years of working experience.

Admission through interviews: Applicants with professional experience are welcome to apply. All non-standard or marginal applications for admission are considered upon approval of the relevant academic body.

For entry into Year 2: Completion of the Diploma in English (Full Time) Programme or Diploma in English for Professionals (Part Time) at NIBM. The English language requirement is IELTS grade 6.0 (with a minimum of 5.5 in each component) or equivalent competence proven through G.C.E. O/L and A/L results.",Intermediate,"Rs.2,013,000.00",Colombo/Kandy,"English Language Teacher, English Literature Lecturer, Academic Writer, Content Developer, Corporate Trainer, Researcher, Copy Editor, Communications Executive",BA (Hons) in English Studies,https://www.nibm.lk/course/ba-hons-english-studies
NIBM,School of Design ,English,Part Time,3 Years,"Advanced Diploma in Fashion Design (Exit to Australia). G.C.E. (A/L) in any stream with 3 passes in a single sitting or an equivalent qualification.

Applicants who have not passed A/Ls are required to follow the Certificate Programme in Design prior to entry.",Intermediate,"Rs.14,552,048.00",Colombo/Kandy,"Advanced Diploma in Fashion Design (Exit to Australia). G.C.E. (A/L) in any stream with 3 passes in a single sitting or an equivalent qualification.

Applicants who have not passed A/Ls are required to follow the Certificate Programme in Design prior to entry.",Bachelor of Design (Fashion),https://www.nibm.lk/course/bachelor-of-design-fas
NIBM,School of Design ,English,Full Time,4 Years,G.C.E. (A/L) in any stream with 2 passes in a single sitting or an equivalent qualification.,Intermediate,"Rs.1,508,000.00",Colombo/Kandy,"Interior Architect, Spatial Designer, Furniture Designer, Architectural Visualizer, Design Consultant, Project Manager, Sustainable Design Specialist",Bachelor of Arts in Interior Architecture,https://www.nibm.lk/course/bachelor-of-arts-in-interior-architecture
NIBM,School of Design ,English,Full Time,3 Years,"Higher National Diploma in Interior Architecture (Exit to Australia).

G.C.E. (A/L) in any stream with 3 passes in a single sitting or an equivalent qualification.",Intermediate,"Rs.7,518,876.00",Colombo,"Interior Designer, Space Planner, Furniture Designer, Project Manager, Sustainable Design Consultant, 3D Visualizer, Design Consultant",Bachelor of Built Environment ( Interior Design Major ) (Hons),https://www.nibm.lk/course/bachelor-of-built-environment-interior-design-major-hons
NIBM,School of Design ,English,Full Time,3 Years,G.C.E. (A/L) in any stream with 2 passes in a single sitting or an equivalent qualification.,Intermediate,"Rs.2,258,000.00",Colombo/Kandy,"Fashion Designer, Fashion Illustrator, Textile Designer, Fashion Stylist, Fashion Merchandiser, Fashion Brand Manager, Visual Merchandiser, Fashion Entrepreneur",Bachelor of Arts (Hons) in Fashion Design,https://www.nibm.lk/course/bachelor-of-arts-hons-in-fashion-design
NIBM,School of Humanities ,English,Full Time,3 Years,G.C.E. (O/L) with 5 passes and G.C.E. (A/L) with 2 passes OR any other equivalent qualifications recognized by the Sri Lankan Government.,Intermediate,"Rs.3,766,000.00",Colombo,"Journalist, News Anchor, TV/Radio Producer, Content Creator, Media Analyst, Public Relations Executive, Communication Specialist, Media Researcher",Bachelor of Arts (Hons) in Broadcasting & Journalism,https://www.nibm.lk/course/bachelor-of-arts-hons-in-broadcasting-journalism
NIBM,School of Humanities ,English,Full Time,3 Years,"For entry into the first year (Level 4 / Advanced Diploma in Psychology):
• 3 Passes in G.C.E. A/L Examination & English.
• Those with 2 passes in G.C.E. A/L can complete the Certificate in Psychology to become eligible.
• At least an ‘S’ pass for Mathematics and English at G.C.E. O/L.
• OR Completion of Foundation in Psychology at NIBM.
• OR Completion of a Certificate or Advanced Certificate in Psychology from a recognized institution.

For entry into the second year (Level 5 / BSc (Hons) Psychology):
• Completion of NIBM Advanced Diploma in Psychology.
• OR Lateral Entry: Completion of a first-year degree equivalent (assessed by University of Essex panel).

For entry into the third year (Level 6 / BSc (Hons) Psychology):
• Completion of Level 5 / BSc (Hons) Psychology year (no lateral entry available).

Applicants must demonstrate English proficiency and may be assessed during the induction phase.",Intermediate,"Rs.5,779,000.00",Colombo,"Clinical Psychologist, Counselling Psychologist, Human Resource Specialist, Research Analyst, Health Psychologist, Educational Psychologist, Behavioural Therapist, Academic Researcher",BSc (Hons) in Psychology,https://www.nibm.lk/course/bsc-hons-in-psychology
NIBM,Business Analytics Center ,English,Part Time ,3 Years,"Year 01 – Advanced Diploma in Data Science:
• G.C.E. A/L qualification with 3 Simple Passes (3 S Passes) from the Physical / Bio Science or Technology stream.

Year 02 – Higher National Diploma in Data Science:
• Completion of the Advanced Diploma in Data Science from NIBM.
• Lateral Entry: Those with an Advanced Diploma in a discipline with significant IT, Computing, Mathematics, or Statistics content from a recognized institution (subject to academic panel review).

Year 03 – BSc (Hons) in Data Science:
• Successful completion of the Higher National Diploma in Data Science from NIBM.
• Lateral Entry: Those with an HND in a related field (IT, Computing, Mathematics, Statistics) and at least 2.5 years’ relevant experience (eligibility reviewed by Coventry University).
",Intermediate,"Rs.1,718,000.00",Colombo / Kandy,"Data Scientist, Data Analyst, Business Intelligence Analyst, Machine Learning Engineer, Data Engineer, Statistician, Quantitative Analyst, Research Data Specialist",BSc (Hons) in Data Science,https://www.nibm.lk/course/bsc-hons-data-science
NIBM,Productivity & Quality Center ,English,Full Time,3 Years,"Year 01 – Advanced Diploma in Logistics Management:
• G.C.E A/L with minimum 3 simple passes OR Certificate Course in Logistics Management (CCLM) OR Foundation Program for those with G.C.E O/L / Edexcel O/L / Cambridge O/L.

Year 02 – Higher National Diploma in Logistics Management:
• Completion of Advanced Diploma in Logistics Management (Full Time) OR Advanced Diploma from NIBM / recognized institution (validated).

Year 03 – BSc (Hons) Global Logistics:
• Completion of Higher National Diploma in Logistics Management from NIBM.",Intermediate,"Rs.1,618,000.00",Colombo,"Logistics Manager, Supply Chain Analyst, Inventory Manager, Operations Manager, Import & Export Coordinator, Distribution Planner, Procurement Specialist",BSc(Hons) Global Logistics (Full-Time),https://www.nibm.lk/course/bsc-hons-global-logistics
NSBM,Faculty of Computing,English,Full Time,4 Years,"Option 1: At least three (3) simple passes (S) in the Physical Sciences stream or Engineering Technology stream in one sitting at the GCE A/L Examination or equivalent.
Option 2: At least three (3) simple passes (S) in any stream in one sitting at the GCE A/L Examination or equivalent, and a Credit pass (C) in Mathematics at GCE O/L or equivalent, plus completion of the approved bridging programme.
Exemptions: Simple pass (S) for ICT with two other simple passes at GCE A/L, must still have C pass in Mathematics at GCE O/L.
Pearson Edexcel / Cambridge International / International A-Level equivalents accepted.",Intermediate,"Rs.3,200,000.00",Colombo,"Data Scientist, Machine Learning Engineer, BI Engineer, 
Consultant, Web Analytics Engineer, Software Engineer,  Deployment Engineer, Computer Scientist, Research Engineer, Research Scholar",BSc (Honors) in Data Science,https://www.nsbm.ac.lk/course/bsc-honours-in-data-science/
NSBM,Faculty of Computing,English,Full Time,4 Years,"Option 1: At least three (3) simple passes (S) in the Physical Sciences stream or Engineering Technology stream in one sitting at the GCE A/L Examination or equivalent.
Option 2: At least three (3) simple passes (S) in any stream in one sitting at the GCE A/L Examination or equivalent, and a Credit pass (C) in Mathematics at GCE O/L or equivalent, plus completion of the approved bridging programme.
Exemptions: Simple pass (S) for ICT with two other simple passes at GCE A/L, must still have C pass in Mathematics at GCE O/L.
Pearson Edexcel / Cambridge International / International A-Level equivalents accepted.",Intermediate,"Rs.3,200,000.00",Colombo,"Network Administrator, Network Engineer, Network Analyst,IT/Systems Support Engineer, Network Architect, VoIP Engineer",BSc (Honours) in Computer Networks,https://www.nsbm.ac.lk/course/bsc-honours-in-computer-networks-ugc/
NSBM,Faculty of Computing,English,Full Time,4 Years,"Option 1: At least three (3) simple passes (S) in the Physical Sciences stream or Engineering Technology stream in one sitting at the G.C.E A/L Examination conducted by the Department of Examinations of Sri Lanka or an equivalent qualification.

Option 2: At least three (3) simple passes (S) in any stream in one sitting at the G.C.E A/L Examination conducted by the Department of Examinations of Sri Lanka or an equivalent qualification, and a Credit pass (C) in Mathematics at the G.C.E O/L Examination. Completion of the bridging programme approved by the Specified Authority.

Exemption Criteria: Students who have obtained a Simple pass (S) for ICT along with two other simple passes at the G.C.E A/L Examination are exempted from the bridging programme, provided they have a Credit pass (C) in Mathematics at the G.C.E O/L Examination.

Pearson Edexcel and Cambridge International A/Ls are accepted under the above criteria.",Intermediate,"Rs.3,200,000.00",Colombo,"Systems Analyst, Software Developer, Software Architect, Web and Mobile Application Developer, Database Administrator, QA Specialist, System Administrator, Business/Technology Analyst, System Integrator",BSc (Honours) in Computer Science,https://www.nsbm.ac.lk/course/bachelor-of-science-honours-in-computer-science-bsc-honours-in-computer-science-ugc/
NSBM,Faculty of Computing,English,Full Time,4 Years,"Option 1: At least three (3) simple passes (S) in the Physical Sciences stream or Engineering Technology stream in one sitting at the G.C.E A/L Examination conducted by the Department of Examinations of Sri Lanka or an equivalent qualification.

Option 2: At least three (3) simple passes (S) in any stream in one sitting at the G.C.E A/L Examination conducted by the Department of Examinations of Sri Lanka or an equivalent qualification, and a Credit pass (C) in Mathematics at the G.C.E O/L Examination. Completion of the bridging programme approved by the Specified Authority.

Exemption Criteria: Students who have obtained a Simple pass (S) for ICT along with two other simple passes at the G.C.E A/L Examination are exempted from the bridging programme, provided they have a Credit pass (C) in Mathematics at the G.C.E O/L Examination.

Pearson Edexcel and Cambridge International A/Ls are accepted under the above criteria.",Intermediate,"Rs.3,200,000.00",Colombo,"Software Engineer, Systems Analyst, Quality Assurance Engineer, UI Engineer, System Support Engineer, Web Designer",BSc (Honours) in Software Engineering,https://www.nsbm.ac.lk/course/bsc-honours-in-software-engineering/
NSBM,Faculty of Computing,English,Full Time,4 Years,"Six passes (with 3 Credit passes) in G.C.E Ordinary Level and three passes in any stream for G.C.E Advanced Level in a single sitting, in the respective streams stipulated or approved by the UGC, at one of the following examinations or an equivalent foreign qualification. Equivalent foreign qualification is defined as the minimum requirement for admission to a similar programme in a UGC-recognized university in that country.

Accepted examinations:
• G.C.E Advanced Level examination conducted by the Department of Examinations, Sri Lanka
• G.C.E Advanced Level examination conducted by Pearson Edexcel, UK (London A/L)
• International Advanced Level examination conducted by Pearson Edexcel, UK
• G.C.E Advanced Level examination conducted by Cambridge International Examinations, UK

Note: Applicants may be required to face a preliminary interview based on their entry qualifications.",Intermediate,"Rs.3,200,000.00",Colombo,"Software Engineer, Business Analyst, Quality Assurance Engineer, UI Engineer, System Support Engineer, Web Designer, IT Management Intern, Project Manager",BSc in Management Information Systems (Special),https://www.nsbm.ac.lk/course/bsc-in-management-information-systems-special-ugc/
NSBM,Faculty of Engineering,English,Full Time,4 Years,"Minimum of two “C” passes and one “S” pass in G.C.E Advanced Level (Local) in the Physical Science Stream (Combined Mathematics, Physics, and Chemistry) in a single sitting and a ‘Credit’ pass for O/L English, or an equivalent foreign qualification.

For IESL Associate Membership eligibility:
• Minimum of two “C” passes and one “S” pass in G.C.E A/L (Local) in Physical Science Stream (Combined Mathematics, Physics, Chemistry)
• OR minimum of two “B” passes and one “C” pass in G.C.E A/L (Cambridge or Edexcel) covering Mathematics/Further Mathematics, Chemistry, and Physics.",Advanced,"Rs.3,200,000.00",Colombo,"Robotics Engineer, Control System Engineer, Electronics Design Engineer, Mechanical Engineer, Instrumentation & Biomedical System Engineer, Embedded Systems Engineer, Manufacturing Process Engineer, Autonomous Vehicle Engineer, Production Engineer.",Bachelor of Science of Engineering Honours in Mechatronic Engineering,https://www.nsbm.ac.lk/course/bsc-engineering-honours-in-mechatronic-engineering/
NSBM,Faculty of Engineering,English,Full Time,4 Years,"Minimum of two “C” passes and one “S” pass in G.C.E Advanced Level (Local) in the Physical Science Stream (Combined Mathematics, Physics, and Chemistry) in a single sitting and a ‘Credit’ pass for O/L English, or an equivalent foreign qualification.

For IESL Associate Membership eligibility:
• Minimum of two “C” passes and one “S” pass in G.C.E A/L (Local) in Physical Science Stream (Combined Mathematics, Physics, Chemistry)
• OR minimum of two “B” passes and one “C” pass in G.C.E A/L (Cambridge or Edexcel) covering Mathematics/Further Mathematics, Chemistry, and Physics.",Advanced,"Rs.3,200,000.00",Colombo,"Electrical Engineer, Electronics Engineer, Telecommunication Engineer, Power Generation Engineer, Power Distribution Engineer,Robotics and Automation Engineer, Embedded Systems Engineer, Control Systems Engineer, 
Network Design Engineer, Biomedical Instrumentation Engineer.",Bachelor of Science of Engineering Honours in Electrical and Electronic Engineering,https://www.nsbm.ac.lk/course/bsc-engineering-honours-in-electrical-and-electronic-engineering/
NSBM,Faculty of Engineering,English,Full Time,4 Years,"Minimum of two “C” passes and one “S” pass in G.C.E Advanced Level (Local) in the Physical Science Stream (Combined Mathematics, Physics, and Chemistry) in a single sitting and a ‘Credit’ pass for O/L English, or an equivalent foreign qualification.

For IESL Associate Membership eligibility:
• Minimum of two “C” passes and one “S” pass in G.C.E A/L (Local) in Physical Science Stream (Combined Mathematics, Physics, Chemistry)
• OR minimum of two “B” passes and one “C” pass in G.C.E A/L (Cambridge or Edexcel) covering Mathematics/Further Mathematics, Chemistry, and Physics.",Advanced,"Rs.3,200,000.00",Colombo,"Computer Systems Engineer, Software Engineer, Embedded Systems Engineer, Network Systems Engineer, Control and Automation Engineer, Robotics Engineer, Telecommunications Engineer, System Design Engineer, Electronics Engineer, IT Consultant.",Bachelor of Science of Engineering Honours in Computer Engineering,https://www.nsbm.ac.lk/course/bsc-honours-engineering-in-computer-systems-engineering/
NSBM,Faculty of Engineering,English,Full Time,3 Years + 6-Month Internship,"Six passes (with 3 credit passes) in G.C.E Ordinary Level and Three passes in G.C.E Advanced Level in a single sitting, in the respective streams stipulated or approved by the UGC, or an equivalent foreign qualification.

Acceptable qualifications include:
• G.C.E Advanced Level examination (Sri Lanka)
• G.C.E Advanced Level (Pearson Edexcel, UK – London A/L)
• International Advanced Level (Pearson Edexcel, UK)
• G.C.E Advanced Level (Cambridge International Examinations, UK).",Intermediate,"Rs.2,400,000.00",Colombo,"Interior Designer, Furniture Designer, Retail Designer, Space Planner, Set Designer, Visualizer, Exhibition Designer, Event Manager, Public Space Planner, CAD Designer, Commercial Space Planner, Colour Consultant, Project Manager, Design Consultant, Information Designer.",Bachelor of Interior Design,https://www.nsbm.ac.lk/course/bachelor-of-interior-design/
NSBM,Faculty of Science,English,Full Time,4 Years,"Three passes in Biology or Agriculture streams in a single sitting, at one of the following examinations or equivalent foreign qualifications. Equivalent foreign qualification is defined as the minimum requirement for admission to the first year of a UGC-recognized university in that country.

Eligible subjects for Biology stream – Biology, Chemistry, Physics
Eligible subjects for Agriculture stream – Biology, Chemistry, Agriculture

Additional requirements:
• G.C.E A/L General English – minimum “S” pass
• G.C.E A/L General Knowledge – minimum 30% marks

Acceptable examinations include:
• G.C.E Advanced Level (Sri Lanka)
• G.C.E Advanced Level (Pearson Edexcel, UK – London A/L)
• International Advanced Level (Pearson Edexcel, UK)
• G.C.E Advanced Level (Cambridge International Examinations, UK).",Intermediate,"Rs.3,600,000.00",Colombo,"Biomedical Scientist, Healthcare Scientist, Research Scientist, Clinical Biochemist, Genetic Technologist, Microbiologist, Haematologist, Pharmaceutical Researcher, Biotechnologist.",BSc (Hons) in Biomedical Science,https://www.nsbm.ac.lk/course/bsc-hons-in-biomedical-science/
